building_category,building_code,purpose,kwh_m2
house,default,lighting,8.2
apartment_block,default,lighting,8.2
retail,default,lighting,50.2
office,default,lighting,22.55
kindergarten,default,lighting,18.79
school,default,lighting,19.35
university,default,lighting,22.55
hospital,default,lighting,42.05
nursing_home,default,lighting,42.05
hotel,default,lighting,42.05
sports,default,lighting,18.58
culture,default,lighting,20.67
storage_repairs,default,lighting,16.91
house,PRE_TEK49,heating_rv,155.29
house,PRE_TEK49,heating_dhw,29.78
house,PRE_TEK49,fans_and_pumps,0.58
house,PRE_TEK49,electrical_equipment,17.52
house,PRE_TEK49,cooling,0.0
apartment_block,PRE_TEK49,heating_rv,126.74
apartment_block,PRE_TEK49,heating_dhw,29.77
apartment_block,PRE_TEK49,fans_and_pumps,0.58
apartment_block,PRE_TEK49,electrical_equipment,17.52
apartment_block,PRE_TEK49,cooling,0.0
retail,PRE_TEK49,heating_rv,131.95
retail,PRE_TEK49,heating_dhw,10.48
retail,PRE_TEK49,fans_and_pumps,66.66
retail,PRE_TEK49,electrical_equipment,3.74
retail,PRE_TEK49,cooling,38.99
office,PRE_TEK49,heating_rv,105.79
office,PRE_TEK49,heating_dhw,5.01
office,PRE_TEK49,fans_and_pumps,35.26
office,PRE_TEK49,electrical_equipment,34.46
office,PRE_TEK49,cooling,20.1
kindergarten,PRE_TEK49,heating_rv,170.38
kindergarten,PRE_TEK49,heating_dhw,10.02
kindergarten,PRE_TEK49,fans_and_pumps,33.96
kindergarten,PRE_TEK49,electrical_equipment,5.22
kindergarten,PRE_TEK49,cooling,0.0
school,PRE_TEK49,heating_rv,136.19
school,PRE_TEK49,heating_dhw,9.8
school,PRE_TEK49,fans_and_pumps,37.48
school,PRE_TEK49,electrical_equipment,12.9
school,PRE_TEK49,cooling,0.0
university,PRE_TEK49,heating_rv,109.21
university,PRE_TEK49,heating_dhw,5.01
university,PRE_TEK49,fans_and_pumps,43.66
university,PRE_TEK49,electrical_equipment,34.46
university,PRE_TEK49,cooling,25.02
hospital,PRE_TEK49,heating_rv,155.64
hospital,PRE_TEK49,heating_dhw,29.77
hospital,PRE_TEK49,fans_and_pumps,85.42
hospital,PRE_TEK49,electrical_equipment,46.72
hospital,PRE_TEK49,cooling,40.49
nursing_home,PRE_TEK49,heating_rv,161.32
nursing_home,PRE_TEK49,heating_dhw,29.78
nursing_home,PRE_TEK49,fans_and_pumps,72.59
nursing_home,PRE_TEK49,electrical_equipment,23.36
nursing_home,PRE_TEK49,cooling,0.0
hotel,PRE_TEK49,heating_rv,163.91
hotel,PRE_TEK49,heating_dhw,29.78
hotel,PRE_TEK49,fans_and_pumps,56.79
hotel,PRE_TEK49,electrical_equipment,5.84
hotel,PRE_TEK49,cooling,27.56
sports,PRE_TEK49,heating_rv,184.32
sports,PRE_TEK49,heating_dhw,49.02
sports,PRE_TEK49,fans_and_pumps,33.84
sports,PRE_TEK49,electrical_equipment,2.58
sports,PRE_TEK49,cooling,0.0
culture,PRE_TEK49,heating_rv,154.53
culture,PRE_TEK49,heating_dhw,10.02
culture,PRE_TEK49,fans_and_pumps,38.62
culture,PRE_TEK49,electrical_equipment,2.87
culture,PRE_TEK49,cooling,20.73
storage_repairs,PRE_TEK49,heating_rv,181.59
storage_repairs,PRE_TEK49,heating_dhw,10.02
storage_repairs,PRE_TEK49,fans_and_pumps,35.85
storage_repairs,PRE_TEK49,electrical_equipment,23.49
storage_repairs,PRE_TEK49,cooling,18.9
house,TEK49,heating_rv,155.29
house,TEK49,heating_dhw,29.78
house,TEK49,fans_and_pumps,0.58
house,TEK49,electrical_equipment,17.52
house,TEK49,cooling,0.0
apartment_block,TEK49,heating_rv,126.74
apartment_block,TEK49,heating_dhw,29.77
apartment_block,TEK49,fans_and_pumps,0.58
apartment_block,TEK49,electrical_equipment,17.52
apartment_block,TEK49,cooling,0.0
retail,TEK49,heating_rv,131.95
retail,TEK49,heating_dhw,10.48
retail,TEK49,fans_and_pumps,66.66
retail,TEK49,electrical_equipment,3.74
retail,TEK49,cooling,38.99
office,TEK49,heating_rv,105.79
office,TEK49,heating_dhw,5.01
office,TEK49,fans_and_pumps,35.26
office,TEK49,electrical_equipment,34.46
office,TEK49,cooling,20.1
kindergarten,TEK49,heating_rv,170.38
kindergarten,TEK49,heating_dhw,10.02
kindergarten,TEK49,fans_and_pumps,33.96
kindergarten,TEK49,electrical_equipment,5.22
kindergarten,TEK49,cooling,0.0
school,TEK49,heating_rv,136.19
school,TEK49,heating_dhw,9.8
school,TEK49,fans_and_pumps,37.48
school,TEK49,electrical_equipment,12.9
school,TEK49,cooling,0.0
university,TEK49,heating_rv,109.21
university,TEK49,heating_dhw,5.01
university,TEK49,fans_and_pumps,43.66
university,TEK49,electrical_equipment,34.46
university,TEK49,cooling,25.02
hospital,TEK49,heating_rv,155.64
hospital,TEK49,heating_dhw,29.77
